"","County","Candidate","Party","Votes","PercentageOfTotalVotes","TotalCountyVotes","Year"
"2126","Thurston","Virgil Goode ","Constitution Party",304,0.2393,127063,2012
"2127","Thurston","Jill Stein ","Green Party",1333,1.0491,127063,2012
"2128","Thurston","Peta Lindsay ","Socialism & Liberation Party",59,0.0464,127063,2012
"2129","Thurston","James Harris ","Socialist Workers Party",44,0.0346,127063,2012
"2130","Thurston","Ross C. (Rocky) Anderson ","Justice Party",262,0.2062,127063,2012
"2131","Wahkiakum","Barack Obama ","Democratic Party",1094,47.6896,2294,2012
"2132","Wahkiakum","Mitt Romney ","Republican Party",1119,48.7794,2294,2012
"2133","Wahkiakum","Gary Johnson ","Libertarian Party",34,1.4821,2294,2012
"2134","Wahkiakum","Virgil Goode ","Constitution Party",11,0.4795,2294,2012
"2135","Wahkiakum","Jill Stein ","Green Party",23,1.0026,2294,2012
"2136","Wahkiakum","Peta Lindsay ","Socialism & Liberation Party",1,0.0436,2294,2012
"2137","Wahkiakum","James Harris ","Socialist Workers Party",2,0.0872,2294,2012
"2138","Wahkiakum","Ross C. (Rocky) Anderson ","Justice Party",10,0.4359,2294,2012
"2139","Walla Walla","Barack Obama ","Democratic Party",9768,38.9039,25108,2012
"2140","Walla Walla","Mitt Romney ","Republican Party",14648,58.34,25108,2012
"2141","Walla Walla","Gary Johnson ","Libertarian Party",398,1.5852,25108,2012
"2142","Walla Walla","Virgil Goode ","Constitution Party",71,0.2828,25108,2012
"2143","Walla Walla","Jill Stein ","Green Party",154,0.6134,25108,2012
"2144","Walla Walla","Peta Lindsay ","Socialism & Liberation Party",12,0.0478,25108,2012
"2145","Walla Walla","James Harris ","Socialist Workers Party",12,0.0478,25108,2012
"2146","Walla Walla","Ross C. (Rocky) Anderson ","Justice Party",45,0.1792,25108,2012
"2147","Whatcom","Barack Obama ","Democratic Party",57089,55.4106,103029,2012
"2148","Whatcom","Mitt Romney ","Republican Party",42703,41.4476,103029,2012
"2149","Whatcom","Gary Johnson ","Libertarian Party",1383,1.3423,103029,2012
"2150","Whatcom","Virgil Goode ","Constitution Party",287,0.2786,103029,2012
"2151","Whatcom","Jill Stein ","Green Party",1248,1.2113,103029,2012
"2152","Whatcom","Peta Lindsay ","Socialism & Liberation Party",57,0.0553,103029,2012
"2153","Whatcom","James Harris ","Socialist Workers Party",43,0.0417,103029,2012
"2154","Whatcom","Ross C. (Rocky) Anderson ","Justice Party",219,0.2126,103029,2012
"2155","Whitman","Barack Obama ","Democratic Party",8037,46.9424,17121,2012
"2156","Whitman","Mitt Romney ","Republican Party",8507,49.6875,17121,2012
"2157","Whitman","Gary Johnson ","Libertarian Party",334,1.9508,17121,2012
"2158","Whitman","Virgil Goode ","Constitution Party",64,0.3738,17121,2012
"2159","Whitman","Jill Stein ","Green Party",118,0.6892,17121,2012
"2160","Whitman","Peta Lindsay ","Socialism & Liberation Party",9,0.0526,17121,2012
