county	year	prim_or_gen	registered	ballots_cast	vote_pres_dem	vote_pres_rep	vote_pres_other	vote_gov_rep	vote_gov_dem	vote_gov_other	vote_sen_dem	vote_sen_rep	vote_sen_other
Grand	2004	general	7,294	4,251	1,858	2,130	177	1,811	2,239	73	1,787	2,101	
Iron	2004	general	22,473	15,647	2,267	12,815	364	10,673	4,526	137	2,442	12,176	
Juab	2004	general	5,701	3,560	605	2,681	131	1,995	1,363	35	788	2,410	
Kane	2004	general	4,437	3,107	576	2,414	61	2,168	823	31	612	2,296	
Millard	2004	general	7,176	4,989	626	4,084	167	3,150	1,654	50	848	3,716	
Morgan	2004	general	5,798	3,915	472	3,301	68	2,535	1,272	25	641	3,056	
Piute	2004	general	989	779	123	646	4	517	237	2	109	573	
Rich	2004	general	1,639	1,032	109	922	6	706	317	2	134	823	
Salt Lake	2004	general	480,807	366,706	135,949	215,728	10,461	168,818	188,002	3,861	142,277	204,974	
San Juan	2004	general	9,125	5,019	1,906	2,971	73	2,555	2,244	72	1,846	2,860	
Sanpete	2004	general	12,202	8,740	1,189	7,004	314	5,441	2,799	90	1,515	6,334	
Sevier	2004	general	10,541	7,842	920	6,597	124	5,059	2,470	62	1,151	6,198	
Summit	2004	general	23,962	15,524	6,977	7,936	399	6,151	8,822	123	7,073	7,488	
Tooele	2004	general	25,198	16,984	4,130	12,181	353	9,181	7,106	192	4,800	10,873	
Uintah	2004	general	15,824	10,095	1,266	8,518	173	7,345	2,399	98	1,472	7,947	
Utah	2004	general	188,962	151,237	17,357	128,269	3,547	107,429	38,921	1,005	20,521	121,241	
Wasatch	2004	general	12,342	7,658	1,854	5,503	155	4,353	3,032	53	2,008	5,146	
Washington	2004	general	58,303	44,943	7,513	35,633	872	31,295	11,683	335	7,842	33,846	
Wayne	2004	general	1,814	1,374	279	1,062	19	880	458	0	264	951	
Weber	2004	general	110,672	74,384	19,862	51,199	1,630	39,330	31,857	742	21,378	47,926	
Beaver	2002	general	4,051	2,333									
Box Elder	2002	general	26,605	12,696									
Cache	2002	general	56,583	22,540									
Carbon	2002	general	12,985	5,871									
Daggett	2002	general	657	498									
Davis	2002	general	122,607	63,698									
Duchesne	2002	general	7,927	3,994									
Emery	2002	general	6,328	4,140									
Garfield	2002	general	3,087	1,725									
Grand	2002	general	6,661	3,309									
Iron	2002	general	18,330	9,667									
Juab	2002	general	4,917	2,842									
Kane	2002	general	3,856	2,245									
Millard	2002	general	7,606	3,806									
Morgan	2002	general	4,999	2,519									
Piute	2002	general	974	631									
Rich	2002	general	1,440	822									
Salt Lake	2002	general	435,575	226,022									
San Juan	2002	general	8,779	3,987									
Sanpete	2002	general	12,074	6,148									
Sevier	2002	general	9,570	5,189									
Summit	2002	general	19,910	9,695									
Tooele	2002	general	23,024	11,357									
Uintah	2002	general	13,565	6,177									
Utah	2002	general	161,408	79,610									
Wasatch	2002	general	10,532	5,065									
Washington	2002	general	50,711	26,961									
Wayne	2002	general	2,054	1,375									
Weber	2002	general	98,677	43,368									
