County ,Registered,Cast,TurnoutPct,AccessibleVotingUnitVotes,AbsenteeCast,AbsenteePct,Year,VBMOnly
Chelan,32703,20378,0.6231,0,16898,0.8292,2002,0
Clallam,39383,27956,0.7098,0,27956,1.0000,2002,1
Clark,174687,93975,0.5380,0,71957,0.7657,2002,0
Columbia,2473,1851,0.7485,0,1028,0.5554,2002,0
Cowlitz,49860,27576,0.5531,0,23957,0.8688,2002,0
Douglas,16354,9227,0.5642,0,6277,0.6803,2002,0
Ferry,3878,2765,0.7130,0,2765,1.0000,2002,1
Franklin,18100,10228,0.5651,0,3604,0.3524,2002,0
Garfield,1505,1012,0.6724,0,419,0.4140,2002,0
Grant,32121,18401,0.5729,0,10858,0.5901,2002,0
Grays Harbor,31725,18842,0.5939,0,11051,0.5865,2002,0
Island,39992,26086,0.6523,0,17798,0.6823,2002,0
Jefferson,18561,13746,0.7406,0,8713,0.6339,2002,0
King,1031348,548353,0.5317,0,327431,0.5971,2002,0
Kitsap,125344,79011,0.6304,0,62176,0.7869,2002,0
Kittitas,16636,10182,0.6120,0,4938,0.4850,2002,0
Klickitat,11006,6492,0.5899,0,2189,0.3372,2002,0
Lewis,41543,23924,0.5759,0,16396,0.6853,2002,0
Lincoln,6227,4389,0.7048,0,968,0.2206,2002,0
Mason,27231,17253,0.6336,0,10406,0.6031,2002,0
Okanogan,19165,11985,0.6254,0,4980,0.4155,2002,0
Pacific,12375,7781,0.6288,0,3824,0.4915,2002,0
Pend Oreille,7025,4769,0.6789,0,928,0.1946,2002,0
Pierce,347702,192734,0.5543,0,157258,0.8159,2002,0
San Juan,9721,7064,0.7267,0,4205,0.5953,2002,0
Skagit,59156,33681,0.5694,0,17589,0.5222,2002,0
Skamania,5607,3531,0.6297,0,1945,0.5508,2002,0
Snohomish,318170,181075,0.5691,0,116526,0.6435,2002,0
Spokane,226493,132843,0.5865,0,77424,0.5828,2002,0
Stevens,26587,14644,0.5508,0,6130,0.4186,2002,0
Thurston,130689,73859,0.5652,0,57411,0.7773,2002,0
Wahkiakum,2484,1892,0.7617,0,1345,0.7109,2002,0
Walla Walla,26062,15438,0.5924,0,8347,0.5407,2002,0
Whatcom,91656,55066,0.6008,0,35965,0.6531,2002,0
Whitman,21414,10931,0.5105,0,3208,0.2935,2002,0
Yakima,89627,48537,0.5415,0,34210,0.7048,2002,0
Adams,6054,3439,0.5681,0,3030,0.8811,2003,0
Asotin,11124,3900,0.3506,0,2130,0.5462,2003,0
Benton,77539,27129,0.3499,0,19416,0.7157,2003,0
Chelan,33327,15737,0.4722,0,14094,0.8956,2003,0
Clallam,40110,23110,0.5762,0,23110,1.0000,2003,1
Clark,173952,54680,0.3143,0,48277,0.8829,2003,0
Columbia,2443,1390,0.5690,0,892,0.6417,2003,0
Cowlitz,49473,22026,0.4452,0,20317,0.9224,2003,0
Douglas,16523,7432,0.4498,0,6190,0.8329,2003,0
Ferry,3896,1977,0.5074,0,1977,1.0000,2003,1
Franklin,18363,7288,0.3969,0,2897,0.3975,2003,0
Garfield,1473,964,0.6544,0,448,0.4647,2003,0
Grant,32507,13754,0.4231,0,9418,0.6847,2003,0
Grays Harbor,32889,15857,0.4821,0,10563,0.6661,2003,0
Island,40279,20490,0.5087,0,16005,0.7811,2003,0
Jefferson,19270,11333,0.5881,0,8590,0.7580,2003,0
King,1035764,369779,0.3570,0,263779,0.7133,2003,0
Kitsap,125228,64040,0.5114,0,55392,0.8650,2003,0
Kittitas,17466,7733,0.4427,0,4200,0.5431,2003,0
Lewis,34306,16732,0.4877,0,15252,0.9115,2003,0
Lincoln,6273,3881,0.6187,0,944,0.2432,2003,0
Mason,27245,11804,0.4333,0,7225,0.6121,2003,0
Okanogan,18962,8818,0.4650,0,2558,0.2901,2003,0
Pacific,12264,6443,0.5254,0,3774,0.5858,2003,0
Pend Oreille,6804,3626,0.5329,0,3626,1.0000,2003,1
Pierce,355171,141870,0.3994,0,122222,0.8615,2003,0
San Juan,9839,5952,0.6049,0,4301,0.7226,2003,0
Skagit,54318,26118,0.4808,0,15545,0.5952,2003,0
Skamania,5670,2238,0.3947,0,2238,1.0000,2003,1
Snohomish,326072,130835,0.4012,0,97076,0.7420,2003,0
Spokane,218828,101636,0.4645,0,72576,0.7141,2003,0
Stevens,26631,9311,0.3496,0,5386,0.5785,2003,0
Thurston,127138,49949,0.3929,0,42257,0.8460,2003,0
Wahkiakum,2515,1539,0.6119,0,1194,0.7758,2003,0
Walla Walla,26843,12295,0.4580,0,7551,0.6142,2003,0
Whatcom,94753,45786,0.4832,0,32957,0.7198,2003,0
Whitman,19277,7256,0.3764,0,2532,0.3490,2003,0
Yakima,90269,38417,0.4256,0,31760,0.8267,2003,0
Klickitat,11185,4038,0.3610,0,2315,0.5733,2003,0
Adams,6477,5204,0.8035,0,4701,0.9033,2004,0
