,Hillary Clinton,Bernie Sanders,"Roque
De La Fuente",Henry Hewes,"Keith
Judd",Michael Steinberg,Willie Wilson,Kevin M. Moreau,Willie Felix Carter,Andrew D. Basiago,Ignació León Nuñez,"Doug
Terry","Ben
Carson","Ted 
Cruz",John R. Kasich,Donald Trump,Jim Gilmore,Joann Breivogel,Victor Williams,Troy Hugh Southern,John Dowell,James Alexander-Pace,James Orlando Ogle III,David P. Thomson,Donald J. Gonzales,Frederic Vidal,James Germalio,Alan Spears,Arthur Harris,"J.R. 
Myers",James Hedges,Robert Ornelas,Thomas Hoefling,Wiley Drake,Darryl Cherney,William Kreml,Kent Mesplay,"Jill 
Stein",Sedinam Moyowasifsa-Curry,Gary Johnson,John McAfee,Marc Feldman,"Cecil 
Ince",Steve Kerbel,Darryl W. Perry,Austin Petersen,Derrick M. Reid,Rhett White Feather Smith,Joy Waymire,"John 
Hale","Jack Robinson, Jr.",Gloria Estela La Riva,Lynn S. Kahn,Monica Moorehead
,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM (W/I),DEM (W/I),DEM (W/I),DEM (W/I),DEM (W/I),REP,REP,REP,REP,REP,REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),REP (W/I),AI,AI,AI,AI,AI,AI,AI,GRN,GRN,GRN,GRN,GRN,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,LIB,PF,PF,PF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,"3,988","5,195",9,14,29,26,70,0,0,0,0,0,221,348,441,"4,163",27,0,0,0,0,0,0,0,0,0,0,29,45,35,50,26,30,29,11,2,4,44,4,52,11,2,1,4,5,8,3,16,4,7,2,4,4,9
  Percent,42.7%,55.7%,0.1%,0.2%,0.3%,0.3%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,4.3%,6.7%,8.5%,80.1%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.9%,18.4%,14.3%,20.5%,10.7%,12.3%,11.9%,16.9%,3.1%,6.2%,67.7%,6.2%,45.2%,9.6%,1.7%,0.9%,3.5%,4.3%,7.0%,2.6%,13.9%,3.5%,6.1%,1.7%,23.5%,23.5%,52.9%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,812,"1,023",6,11,16,14,23,0,0,0,0,0,171,315,177,"3,231",8,0,0,0,0,0,0,0,0,0,0,30,17,17,16,22,9,23,1,0,0,6,0,29,0,0,0,0,0,5,0,2,0,1,2,0,1,0
  Percent,42.6%,53.7%,0.3%,0.6%,0.8%,0.7%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,4.4%,8.1%,4.5%,82.8%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,22.4%,12.7%,12.7%,11.9%,16.4%,6.7%,17.2%,14.3%,0.0%,0.0%,85.7%,0.0%,74.4%,0.0%,0.0%,0.0%,0.0%,0.0%,12.8%,0.0%,5.1%,0.0%,2.6%,5.1%,0.0%,100.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,"780,013","639,886","3,199","2,839","2,349","3,134","3,236",0,2,4,5,0,"13,029","40,925","44,771","236,437","4,331",8,2,0,7,4,0,25,9,4,1,"1,384","2,010","1,148",956,"2,060",778,"1,654",207,165,120,"1,900",161,"3,091",533,253,125,131,138,361,110,262,228,242,188,963,333,463
  Percent,54.4%,44.6%,0.2%,0.2%,0.2%,0.2%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,3.8%,12.1%,13.2%,69.6%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,13.9%,20.1%,11.5%,9.6%,20.6%,7.8%,16.6%,8.1%,6.5%,4.7%,74.4%,6.3%,54.6%,9.4%,4.5%,2.2%,2.3%,2.4%,6.4%,1.9%,4.6%,4.0%,4.3%,3.3%,54.7%,18.9%,26.3%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
